"idx","feature_id","from","to","lon","lat","alt","order","Qi","MusK","MusX","Length","n","So","ChSlp","BtmWdth","NHDWaterbodyComID","time","site_no","Kchan","ascendingIndex","nCC","TopWdthCC","TopWdth"
2147022,5908723,0,5908705,-78.73463439941406,38.325584411621094,310.6199951171875,5,0.0,3600.0,0.20000000298023224,7132.0,0.05000000074505806,0.0010000000474974513,0.23926132917404175,21.780261993408203,-9999,"2000-01-01 00:00:00","01628500",0,308221,0.10000000149011612,108.90130615234375,36.30043411254883
2147037,8112611,0,8111949,-77.12870025634766,41.907066345214844,329.04998779296875,5,0.0,3600.0,0.20000000298023224,2457.0,0.05000000074505806,0.00800000037997961,0.2930864095687866,13.750460624694824,-9999,"2000-01-01 00:00:00","01518000",0,309610,0.10000000149011612,68.75230407714844,22.917434692382812
2147112,14365060,0,14365050,-79.11663055419922,39.43920135498047,375.1600036621094,4,0.0,3600.0,0.20000000298023224,1990.0,0.054999999701976776,0.008999999612569809,0.29515522718429565,13.532968521118164,-9999,"2000-01-01 00:00:00","01595800",0,310746,0.10999999940395355,67.66484069824219,22.554946899414062
2147126,2588225,0,2587843,-75.04444885253906,40.84407424926758,94.95999908447266,2,0.0,3600.0,0.20000000298023224,1216.0,0.05999999865889549,0.003000000026077032,0.39649662375450134,6.9315643310546875,-9999,"2000-01-01 00:00:00","01446000",0,308222,0.11999999731779099,34.65782165527344,11.552607536315918
2147128,2613578,0,2613590,-75.14106750488281,42.15888214111328,360.3800048828125,4,0.0,3600.0,0.20000000298023224,1589.0,0.054999999701976776,0.0010000000474974513,0.285511314868927,14.591320037841797,-9999,"2000-01-01 00:00:00","01423000",0,307400,0.10999999940395355,72.95660400390625,24.318866729736328
2147133,4480911,0,4480999,-74.956787109375,40.1756706237793,11.25,4,0.0,3600.0,0.20000000298023224,540.0,0.054999999701976776,0.0020000000949949026,0.3064628541469574,12.427515029907227,-9999,"2000-01-01 00:00:00","01465500",0,296315,0.10999999940395355,62.13758087158203,20.712526321411133
2147139,4587250,0,4587258,-73.07318115234375,44.67861557006836,97.41999816894531,4,0.0,3600.0,0.20000000298023224,3013.0,0.054999999701976776,0.003000000026077032,0.2561189532279968,18.665498733520508,-9999,"2000-01-01 00:00:00","04292500",0,271108,0.10999999940395355,93.3274917602539,31.109163284301758
2147175,8111577,0,8111529,-77.14928436279297,41.990840911865234,328.67999267578125,4,0.0,3600.0,0.20000000298023224,2330.0,0.054999999701976776,0.012000000104308128,0.2901807725429535,14.064528465270996,-9999,"2000-01-01 00:00:00","01520000",0,271112,0.10999999940395355,70.32264709472656,23.440881729125977
2147181,8127609,0,8127607,-78.12181091308594,41.31767654418945,241.10000610351562,6,0.0,3600.0,0.20000000298023224,4633.0,0.05000000074505806,0.0020000000949949026,0.25621312856674194,18.649951934814453,-9999,"2000-01-01 00:00:00","01543500",0,244186,0.10000000149011612,93.249755859375,31.083251953125
2147275,4578836,0,4576952,-73.14380645751953,44.48592758178711,60.56999969482422,5,0.0,3600.0,0.20000000298023224,3466.0,0.05000000074505806,0.0010000000474974513,0.2406960129737854,21.487106323242188,-9999,"2000-01-01 00:00:00","04290500",0,271120,0.10000000149011612,107.43553161621094,35.81184387207031
2147279,4674911,0,4674907,-78.42464447021484,40.98251724243164,351.04998779296875,4,0.0,3600.0,0.20000000298023224,5102.0,0.054999999701976776,0.0010000000474974513,0.280853271484375,15.145626068115234,-9999,"2000-01-01 00:00:00","01541500",0,292991,0.10999999940395355,75.72813415527344,25.24271011352539
2147413,4699337,0,4699301,-77.88750457763672,40.27525329589844,175.07000732421875,5,0.0,3600.0,0.20000000298023224,2042.0,0.05000000074505806,0.0010000000474974513,0.29068776965141296,14.008989334106445,-9999,"2000-01-01 00:00:00","01564512",0,296322,0.10000000149011612,70.04495239257812,23.348316192626953
2147414,4708726,0,4708796,-76.5767593383789,40.403072357177734,109.75,5,0.0,3600.0,0.20000000298023224,241.0,0.05000000074505806,9.999999747378752e-06,0.2852473258972168,14.62194538116455,-9999,"2000-01-01 00:00:00","01573000",0,271134,0.10000000149011612,73.10972595214844,24.369909286499023
2147456,8450100,0,8450104,-77.37877655029297,39.443077087402344,78.62999725341797,6,0.0,3600.0,0.20000000298023224,2558.0,0.05000000074505806,9.999999747378752e-06,0.2553164064884186,18.798751831054688,-9999,"2000-01-01 00:00:00","01642190",0,271138,0.10000000149011612,93.99375915527344,31.331253051757812
2147525,4151216,0,4150292,-74.597900390625,41.44472122192383,140.27000427246094,4,0.0,3600.0,0.20000000298023224,1162.0,0.054999999701976776,0.0020000000949949026,0.28930628299713135,14.161075592041016,-9999,"2000-01-01 00:00:00","01437500",0,244332,0.10999999940395355,70.80537414550781,23.601791381835938
2147643,166176984,0,166176983,-73.11762237548828,44.89945983886719,33.90999984741211,4,0.0,3600.0,0.20000000298023224,13199.0,0.054999999701976776,9.999999747378752e-06,0.24793308973312378,20.091663360595703,-9999,"2000-01-01 00:00:00","04294000",0,271169,0.10999999940395355,100.45832061767578,33.486106872558594
