"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
2148000,"CMDS1",9718581,16.0,27.0,29.0,35.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=cmds1","",28209.78,35912.81,93242.49,"",789.87384,1005.55868,2610.78972
4188100,"KALO1",15651637,16.0,19.0,20.0,22.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=kalo1",4470.59,7108.13,8190.38,11055.45,125.17652000000001,199.02764000000002,229.33064000000002,309.55260000000004
6810000,"HMBI4",659660,23.0,25.0,27.5,33.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=hmbi4",15765.87,19740.05,26345.49,63275.0,441.44436,552.7214,737.6737200000001,1771.7
3272000,"GERO1",3883632,22.0,62.0,80.0,87.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=gero1",4524.72,"","","",126.69216000000002,"","",""
8090800,"DNNT2",5498058,10.0,21.0,25.0,27.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=dnnt2",6513.5,29370.53,41637.0,48492.12,182.37800000000001,822.37484,1165.836,1357.77936
4080000,"ROYW3",9035351,4.0,5.0,8.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grb&gage=royw3",2181.08,3230.29,7221.48,10500.0,61.07024,90.44812,202.20144,294.0
7376500,"NRBL1",20090348,15.0,16.0,20.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=nrbl1",3095.22,3884.83,8550.59,"",86.66615999999999,108.77524,239.41652000000002,""
2198500,"CLYG1",20104145,10.0,11.0,15.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=clyg1",12429.23,13775.21,28084.23,81000.0,348.01844,385.70588,786.35844,2268.0
9147000,"DCKC2",9769828,5.0,6.0,8.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=dckc2",509.95,"","","",14.2786,"","",""
9070500,"EGLC2",1236065,11.5,12.0,13.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=eglc2",15763.05,17005.4,19623.9,22419.73,441.36539999999997,476.1512000000001,549.4692,627.75244
5479000,"DAKI4",6591838,18.0,20.0,24.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=daki4",8567.76,10965.3,17400.0,"",239.89728000000002,307.0284,487.2,""
1551500,"WILP1",8152471,10.0,20.0,21.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=wilp1",33617.2,110357.93,120394.5,227000.0,941.2815999999999,3090.02204,3371.0460000000003,6356.0
7144550,"DRBK1",21165603,10.0,12.0,15.0,16.2," https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=drbk1",17037.27,24143.27,36987.81,42849.72,477.04356,676.01156,1035.65868,1199.79216
1015800,"MASM1",805443,15.0,17.0,18.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=masm1",16093.26,23345.31,27918.57,"",450.61128,653.66868,781.71996,""
2103000,"MANN7",8846189,18.0,18.0,24.0,27.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=mann7",2429.38,2429.38,4846.21,6661.23,68.02264000000001,68.02264000000001,135.69388,186.51443999999998
6864000,"RSLK1",18914017,16.0,18.0,20.0,38.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=rslk1",6225.93,8555.18,"","",174.32604,239.54504,"",""
6470500,"LAMN8",11468954,12.0,14.0,16.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bis&gage=lamn8",2678.31,3879.57,7531.04,"",74.99268000000001,108.62796,210.86912,""
7343000,"CPPT2",4300911,28.0,30.0,34.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=cppt2",39629.78,47415.13,66396.47,82602.11,1109.63384,1327.62364,1859.1011600000002,2312.85908
7243500,"BGSO2",536835,18.0,18.0,22.0,27.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=bgso2",8391.45,8391.45,12559.83,22405.28,234.96060000000003,234.96060000000003,351.67524000000003,627.34784
8159200,"BRTT2",5790218,14.0,23.0,25.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=brtt2",12566.34,26861.66,30399.8,38030.46,351.85752,752.12648,851.1944,1064.85288
2433500,"BGBM6",18696205,13.0,14.0,23.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=bgbm6",7141.11,8146.47,42366.27,80796.23,199.95108,228.10116000000002,1186.2555599999998,2262.29444
